E0_band10,E0_band11
1266.033794315740,1252.198139248370
1266.036685234210,1252.217192725230
1266.039637626640,1252.236309453470
1266.042655348030,1252.255481301510
1266.045735529430,1252.274718702240
1266.048879802590,1252.294011608220
1266.052089614060,1252.313367148730
1266.055362361790,1252.332781138870
1266.058702610220,1252.352255132760
1266.062105295160,1252.371789878680
1266.065575177690,1252.391382478990
1266.069108392900,1252.411038820780
1266.072709114780,1252.430750599220
1266.076374563330,1252.450527143940
1266.080105986310,1252.470360532040
1266.083904655850,1252.490256457490
1266.087767710930,1252.510212189940
1266.091700108790,1252.530228468550
1266.305845762910,1250.245359993580
1266.375417981270,1249.480346151760
1266.374280909900,1249.481262279000
1266.373126402450,1249.482212349390
1266.371955388640,1249.483188941160
1266.370765075440,1249.484195616350
1266.369560022450,1249.485236025480
1266.368334824180,1249.486302674040
1266.367094045980,1249.487410880270
1266.365834958210,1249.488541141930
1266.364558494130,1249.489717472400
1266.363264953140,1249.490920467930
1266.361952648120,1249.492165391770
1266.360624188670,1249.493445036060
1266.359277474890,1249.494762422140
1266.357915325630,1249.49612136421
1266.356535001050,1249.49751344124
1266.355137516410,1249.49895501028
1266.353723812720,1249.50042810752
1266.352291259350,1249.50194888962
1266.350844374710,1249.50350935331
1266.349377946810,1249.50511296206
1266.347896646140,1249.50676365269
1266.346396975900,1249.50845272815
1266.344880517000,1249.51019652156
1266.343348488020,1249.51197734053
1266.341797974550,1249.51381173349
1266.340233560610,1249.51569001824
1266.338649883830,1249.51761637068
1266.337051498710,1249.51959452506
1266.335435898440,1249.52161562738
1266.333804032320,1249.52369694758
1266.332155977020,1249.52581896954
1266.330491832620,1249.52799897190
1266.328812309580,1249.53022763127
1266.327115285350,1249.53250880652
1266.325404565370,1249.53484410584
1266.323675814040,1249.53722807321
1266.321932662940,1249.53967819100
1266.320173878780,1249.54217234231
1266.318399717100,1249.54472881777
1266.316611129360,1249.54733817025
1266.314805700540,1249.55000404708
1266.312987791460,1249.55273062054
1266.311152110560,1249.55550768128
1266.309302756390,1249.55835355431
1266.307438698920,1249.56124763452
1266.305560116380,1249.56420832490
1266.303667961770,1249.56722134366
1266.301759893070,1249.57030207784
1266.299840097920,1249.57343937244
1266.297903895380,1249.57663771428
1266.295955485310,1249.57990169839
1266.293992566500,1249.58322011458
1266.292016112120,1249.58661226866
1266.290026464260,1249.59005602844
1266.288022350880,1249.59357057388
1266.286006022870,1249.59714573994
1266.283976074540,1249.60078500796
1266.281934953810,1249.60449290799
1266.279880394740,1249.60825766070
1266.277813422200,1249.61209980756
1266.275735001370,1249.61599546920
1266.273642937720,1249.61996489148
1266.271541339890,1249.62399727254
1266.269425705550,1249.62809643462
1266.267300234870,1249.63226677129
1266.265162217700,1249.63649666023
1266.263013039150,1249.64080628657
1266.260853926940,1249.64517258177
1266.258682394070,1249.64961594125
1266.256501902260,1249.65412383902
1266.254309363140,1249.65870084010
1266.252108838400,1249.66335104848
1266.249896021180,1249.66806284086
1266.247674942260,1249.67285749189
1266.245443494710,1249.67770981532
1266.243202673090,1249.68264111063
1266.240953272100,1249.68763909851
1266.238693489950,1249.69270817443
1266.236426737520,1249.69785052704
1266.234149463950,1249.70305770280
1266.231864900630,1249.70835134003
1266.229572199720,1249.71370347416
1266.227271655820,1249.71913653150
1266.224964208550,1249.72463825178
1266.222647900940,1249.73021273706
1266.220326636920,1249.73586469675
1266.217995968180,1249.74158100953
1266.215659572670,1249.74737958878
1266.213316711520,1249.75324300043
1266.210967654970,1249.75919440981
1266.208613397250,1249.76520602135
1266.206251962430,1249.77130119645
1266.203887144090,1249.77746570836
1266.201514989800,1249.78370471781
1266.199139293350,1249.79002346401
1266.196758173060,1249.79640774372
1266.194372621810,1249.80288094203
1266.191983081540,1249.80941535635
1266.189588555720,1249.81603416815
1266.187190991500,1249.82272440508
1266.184789546910,1249.82949019134
1266.182386322650,1249.83633645837
1266.179979560700,1249.84324904223
1266.177570247890,1249.85025155801
1266.175159354920,1249.85731590055
1266.172745110440,1249.86446524219
1266.170331156710,1249.87168673490
1266.167913058840,1249.87898459374
1266.165496606060,1249.88636324135
1266.163077096570,1249.89380962229
1266.160658265750,1249.90134558645
1266.158238713550,1249.90894561574
1266.155819195240,1249.91663163256
1266.153400779640,1249.92438986631
1266.150981508400,1249.93222504541
1266.148565042150,1249.94014099802
1266.146147821890,1249.94812558407
1266.143733451610,1249.95620038140
1266.141320247910,1249.96433937455
1266.138909217850,1249.97256404863
1266.136501274720,1249.98086166724
1266.134094853100,1249.98923659420
1266.131692944510,1249.99769049017
1266.129292826790,1250.00621524441
1266.126897302130,1250.01483140574
1266.124505869000,1250.02350783113
1266.122118863950,1250.03227782020
1266.119737191810,1250.04111335934
1266.117359357440,1250.05003458769
1266.114988767690,1250.05902908032
1266.112621864290,1250.06810105713
1266.110261875670,1250.07725431534
1266.107908287210,1250.08647724224
1266.105561489540,1250.09579031934
1266.103222529340,1250.10516845253
1266.100889758280,1250.11463222209
1266.098566587980,1250.12416885949
1266.096249753540,1250.13378290944
1266.093942651210,1250.14347848041
1266.091643802130,1250.15324362610
1266.089354217980,1250.16309745845
1266.087074447730,1250.17301711940
1266.084803738840,1250.18302146675
1266.082543730910,1250.19309981984
1266.080294130160,1250.20325534432
1266.078056675540,1250.21349185003
1266.075829604230,1250.22379767078
1266.073615459350,1250.23419182790
1266.071413028640,1250.24465134344
1266.069223201760,1250.25519481765
1266.067046859030,1250.26581183102
1266.064882748430,1250.27650562072
1266.062734083530,1250.28727949342
1266.060597814150,1250.29812299618
1266.058477192320,1250.30905324491
1266.056371029020,1250.32005001520
1266.054280177540,1250.33113051856
1266.052205830540,1250.34228359848
1266.050146188830,1250.35351291902
1266.048104777310,1250.36482123534
1266.046078407970,1250.37619897938
1266.044070549130,1250.38766300779
1266.042079749220,1250.39919264540
1266.040107067190,1250.41080468745
1266.038153630900,1250.42248575003
1266.036217828060,1250.43424881302
1266.034302654480,1250.44608239394
1266.032405691960,1250.45799134139
1266.030529749750,1250.46998110792
1266.028674395280,1250.48203927281
1266.026840055390,1250.49418159943
1266.025027728160,1250.50638959041
1266.023235976890,1250.51867878384
1266.021468344520,1250.53103932132
1266.019721368190,1250.54347442677
1266.017998462160,1250.55598683553
1266.016298930830,1250.56856755359
1266.014623385800,1250.58123254209
1266.012973101850,1250.59396172910
1266.011346237630,1250.60677120268
1266.009746662450,1250.61965083303
1266.008170714790,1250.63260413961
1266.006622246080,1250.64563414676
1266.230934406510,1249.84370347639
1266.304686346280,1249.57587806715
1266.303150646670,1249.57845367230
1266.301604034410,1249.58105576444
1266.300048018010,1249.58371283481
1266.298482544090,1249.58639578925
1266.296908504060,1249.58913421092
1266.295325164570,1249.59189918743
1266.293732536790,1249.59471651584
1266.292130775410,1249.59756826777
1266.290519152790,1249.60046883773
1266.288900201380,1249.60340467082
1266.287270719310,1249.60638680654
1266.285634092720,1249.60941167066
1266.283986276020,1249.61247960266
1266.282333441700,1249.61559077244
1266.280668475470,1249.61874193717
1266.278997978120,1249.62194398746
1266.277316243600,1249.62518328684
1266.275628809810,1249.62847460720
1266.273931540840,1249.63180262799
1266.272227922910,1249.63518305465
1266.270514668730,1249.63859691579
1266.268795087080,1249.64207067603
1266.267066191830,1249.64557512108
1266.265330447500,1249.64914047158
1266.263587186960,1249.65273636833
1266.261836492980,1249.65638974587
1266.260078497310,1249.66008173729
1266.258312420700,1249.66382778205
1266.256540750570,1249.667612863070
1266.254760507650,1249.671447047600
1266.252974715920,1249.675328220050
1266.251180723160,1249.679258842600
1266.249381167270,1249.683236829260
1266.247573475720,1249.687262113850
1266.245762447370,1249.691335122590
1266.243942063430,1249.695452394310
1266.242118587300,1249.699625816670
1266.240285992410,1249.703839495470
1266.238449783180,1249.708109633470
1266.236606240290,1249.712416384410
1266.234757759330,1249.716787890230
1266.232902733880,1249.721192365610
1266.231043265620,1249.725662846910
1266.229178523700,1249.730165666400
1266.227308642700,1249.734735064070
